seq_ID,index,MACS_ct,FACS1_ct,FACS2_ct,MACS_hasread,FACS1_hasread,FACS2_hasread,MACS_normct,MACS_logct,FACS1_normct,FACS1_logct,FACS2_normct,FACS2_logct,FACS1_MACS_logratio,FACS2_MACS_logratio,FACS2_FACS1_logratio,FACS1_MACS_enriched,FACS1_MACS_split,FACS2_MACS_enriched,FACS2_MACS_split,FACS2_FACS1_enriched,FACS2_FACS1_split
V2/fil5_filabund1_46,46,470,122,36,True,True,True,509.6834432044557,2.7073005259926086,219.9843125941019,2.3423917117461515,83.65439580612629,1.9224887668666741,-0.36490881424645716,-0.7848117591259345,-0.4199029448794773,0.0,test,0.0,train,0.0,train
V2/fil5_filabund1_47,47,470,62,39,True,True,True,509.6834432044557,2.7073005259926086,111.79530640028129,2.048423570569657,90.62559545663682,1.957250873125886,-0.6588769554229517,-0.7500496528667226,-0.09117269744377099,0.0,test,0.0,test,0.0,test
V2/fil5_filabund1_48,48,469,57,53,True,True,True,508.5990103465739,2.7063755107719745,102.77955588412958,2.0119067367438945,123.1578604923526,2.090462135700176,-0.6944687740280799,-0.6159133750717984,0.0785553989562815,0.0,train,0.0,train,1.0,train
V2/fil5_filabund1_49,49,466,222,258,True,True,True,505.34571177292844,2.7035885847468917,400.29932291713624,2.602384855522042,599.523169943905,2.777805972062617,-0.10120372922484977,0.07421738731572525,0.17542111654057502,0.0,train,1.0,train,1.0,train
V2/fil5_filabund1_51,51,464,141,39,True,True,True,503.17684605716477,2.701720648611772,254.24416455547842,2.405250993726783,90.62559545663682,1.957250873125886,-0.296469654884989,-0.7444697754858862,-0.4480001206008972,0.0,test,0.0,test,0.0,test
V2/fil5_filabund1_50,50,464,56,49,True,True,True,503.17684605716477,2.701720648611772,100.97640578089923,2.0042199080776038,113.86292762500523,2.0563823461279003,-0.6975007405341684,-0.6453383024838719,0.05216243805029652,0.0,train,0.0,train,1.0,train
V2/fil5_filabund1_52,52,462,113,27,True,True,True,501.00798034140115,2.699844643613017,203.7559616650288,2.309110324554823,62.74079685459472,1.797550030258374,-0.3907343190581938,-0.9022946133546428,-0.511560294296449,0.0,train,0.0,train,0.0,train
V2/fil5_filabund1_53,53,454,46,25,True,True,True,492.3325174783466,2.6922585209139953,82.9449047485958,1.9187897127529774,58.093330420921035,1.7641262747714244,-0.7734688081610179,-0.928132246142571,-0.15466343798155302,0.0,train,0.0,train,0.0,train
V2/fil5_filabund1_54,54,451,67,43,True,True,True,489.0792189047011,2.689379209934852,120.811056916433,2.0821066837722295,99.92052832398419,1.9996547216789733,-0.6072725261626224,-0.6897244882558786,-0.08245196209325623,0.0,train,0.0,train,0.0,train
V2/fil5_filabund1_55,55,450,95,77,True,True,True,487.9947860468193,2.688415181832235,171.29925980688262,2.233755486360251,178.9274576964368,2.2526769912718687,-0.4546596954719839,-0.43573819056036633,0.018921504911617593,0.0,train,0.0,train,1.0,train
V2/fil5_filabund1_56,56,447,197,462,True,True,True,484.74148747317383,2.6855101911888277,355.22057033637765,2.550498107232996,1073.5647461786207,3.030828241655512,-0.13501208395583175,0.3453180504666844,0.48033013442251615,0.0,train,1.0,train,1.0,train
V2/fil5_filabund1_57,57,444,50,47,True,True,True,481.4881888995284,2.682585638171511,90.15750516151716,1.955001885407422,109.21546119133154,2.0382841240351044,-0.7275837527640892,-0.6443015141364068,0.08328223862768236,0.0,test,0.0,train,1.0,train
V2/fil5_filabund1_58,58,436,295,44,True,True,True,472.8127260364738,2.6746891573254774,531.9292804529513,2.725853897049566,102.24426154082101,2.0096389425855743,0.05116473972408864,-0.6650502147399031,-0.7162149544639917,1.0,train,0.0,train,0.0,train
V2/fil5_filabund1_59,59,436,62,58,True,True,True,472.8127260364738,2.6746891573254774,111.79530640028129,2.048423570569657,134.7765265765368,2.129614259662324,-0.6262655867558204,-0.5450748976631532,0.08119068909266725,0.0,test,0.0,test,1.0,test
V2/fil5_filabund1_60,60,430,118,34,True,True,True,466.3061288891829,2.6686711236364777,212.77171218118053,2.3279138883775286,79.0069293724526,1.8976651831416418,-0.3407572352589492,-0.771005940494836,-0.43024870523588676,0.0,train,0.0,train,0.0,train
V2/fil5_filabund1_61,61,426,42,38,True,True,True,461.9683974576556,2.6646122671596104,75.73230433567443,1.8792811714693038,88.30186223979997,1.945969862716197,-0.7853310956903066,-0.7186424044434134,0.06668869124689314,0.0,test,0.0,test,1.0,train
V2/fil5_filabund1_63,63,423,132,50,True,True,True,458.71509888401016,2.661543035431934,238.01581362640533,2.376605812277253,116.18666084184207,2.0651562704354056,-0.28493722315468073,-0.5963867649965282,-0.3114495418418475,0.0,train,0.0,train,0.0,train
V2/fil5_filabund1_62,62,423,75,47,True,True,True,458.71509888401016,2.661543035431934,135.23625774227577,2.131093144463103,109.21546119133154,2.0382841240351044,-0.5304498909688307,-0.6232589113968294,-0.09280902042799877,0.0,test,0.0,test,0.0,test
V2/fil5_filabund1_64,64,423,40,38,True,True,True,458.71509888401016,2.661543035431934,72.12600412921374,1.8580918723993656,88.30186223979997,1.945969862716197,-0.8034511630325682,-0.7155731727157368,0.08787799031683141,0.0,train,0.0,train,1.0,train
V2/fil5_filabund1_65,65,422,137,70,True,True,True,457.6306660261283,2.660515119018565,247.03156414255704,2.39275244822781,162.6613251785789,2.211284306113644,-0.2677626707907548,-0.4492308129049212,-0.1814681421141664,0.0,train,0.0,train,0.0,train
V2/fil5_filabund1_66,66,422,38,23,True,True,True,457.6306660261283,2.660515119018565,68.51970392275305,1.8358154776882134,53.44586398724735,1.7279141021169795,-0.8246996413303516,-0.9326010169015855,-0.10790137557123392,0.0,train,0.0,train,0.0,train
V2/fil5_filabund1_67,67,420,64,71,True,True,True,455.4618003103647,2.658451958454792,115.40160660674198,2.0622118550552906,164.98505839541573,2.217444614818462,-0.5962401033995013,-0.44100734363633,0.1552327597631713,0.0,train,0.0,train,1.0,train
V2/fil5_filabund1_68,68,418,49,36,True,True,True,453.29293459460104,2.6563789498319266,88.35435505828683,1.946227961099917,83.65439580612629,1.9224887668666741,-0.7101509887320097,-0.7338901829652524,-0.023739194233242777,0.0,train,0.0,test,0.0,test
